what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509032500395
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509032502856
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509032505427
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509032969409
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509032972705
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509032973442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509032978829
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509032981456
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509032982867
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509032992154
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509032995479
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509033017485
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509033020613
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033026151
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033026928
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033027475
error,log,,,"Internal Error",1509033028444
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033045620
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1509033049156
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1509033081148
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033093891
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033098950
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033101529
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1509033114980
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1509033115942
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1509071305536
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,"org.eclipse.osgi",1509071305536
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1509071305536
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1509071305551
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,"org.eclipse.compare.core",1509071305551
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1509071305551
