what,kind,bundleId,bundleVersion,description,time
os,sysinfo,,,"win32",1516847913344
arch,sysinfo,,,"x86_64",1516847913344
ws,sysinfo,,,"win32",1516847913344
locale,sysinfo,,,"zh_CN",1516847913344
processors,sysinfo,,,"4",1516847913344
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1516847913344
java.runtime.version,sysinfo,,,"1.8.0_151-b12",1516847913344
java.specification.name,sysinfo,,,"Java Platform API Specification",1516847913344
java.specification.vendor,sysinfo,,,"Oracle Corporation",1516847913344
java.specification.version,sysinfo,,,"1.8",1516847913344
java.vendor,sysinfo,,,"Oracle Corporation",1516847913344
java.version,sysinfo,,,"1.8.0_151",1516847913344
java.vm.info,sysinfo,,,"mixed mode",1516847913344
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1516847913344
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1516847913344
java.vm.specification.vendor,sysinfo,,,"Oracle Corporation",1516847913344
java.vm.specification.version,sysinfo,,,"1.8",1516847913344
java.vm.vendor,sysinfo,,,"Oracle Corporation",1516847913344
java.vm.version,sysinfo,,,"25.151-b12",1516847913344
started,bundle,org.eclipse.epp.usagedata.ui,1.3.1.R201102081640,"org.eclipse.epp.usagedata.ui",1516847914368
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1516847915137
